Nummer,BetrieblicheBezeichnung,Gueltigkeit_BeginnGueltigkeit,E,N,H
ch:1:sloid:93490:0:718910,Bord de la route,20230608,46.14046203225243,6.992836521678291,1395
ch:1:sloid:78722:0:02,2,20210504,47.32380241615024,8.134531248831502,0
ch:1:sloid:88954:0:01,1,20221211,47.21200199443887,9.49439588060095,0
ch:1:sloid:91182::10,10,20240223,47.35654855061016,8.510040236962253,0
ch:1:sloid:74148:0:64610,2,20230427,47.41963415745367,9.543032218640189,0
ch:1:sloid:75101:0:51289,1,20230427,46.745190021812284,9.208541958013647,0
ch:1:sloid:78524:0:230849,1,20210401,47.2267298741287,8.819327091535026,0
ch:1:sloid:4033:0:17996,2,20220101,46.57317170237685,6.927376286705899,0
ch:1:sloid:4046:0:17957,1,20220101,46.72233799563858,7.068080691326294,0
ch:1:sloid:4041:0:18041,2,20220101,46.677020024336755,7.07700550860627,0
ch:1:sloid:76521:1:4,10,19930201,46.628683609821955,8.024210256879735,0
ch:1:sloid:76563:1:2,10,19980101,46.752481969539275,7.660994437648327,0
ch:1:sloid:76595:0:146064,2,20230427,46.20610290084422,7.181059946783879,0
ch:1:sloid:70918:0:587531,2,20230427,46.096222243441076,7.51609933547967,0
ch:1:sloid:94641:0:2,2,20211212,46.46635201022227,6.840321006891321,0
ch:1:sloid:73375:0:237322,6,20231210,47.557301197552604,8.895597474919201,0
ch:1:sloid:78712:0:01,1,20210504,47.31514293471273,8.184546305422328,0
ch:1:sloid:87467:0:37090,1,20230427,46.24700809643107,9.025219077626227,0
ch:1:sloid:74110:0:230674,1,20240307,47.45041000985915,9.635270009316786,0
ch:1:sloid:1120:0:20298,70,20240307,46.516341845148524,6.631812591543942,0
ch:1:sloid:1402:0:0,PL,20231220,46.25150632098699,7.001000842619312,0
ch:1:sloid:73663::50,50,20240223,47.468695483505606,8.784163297718763,0
ch:1:sloid:94914:0:721469,6,20231120,47.641497675557204,9.166495317024172,0
ch:1:sloid:77635:0:15528,2,20220101,46.867825835063975,6.8829135884739765,0
ch:1:sloid:93269:0:289245,1,20231024,47.03842337388243,7.631835133107769,0
ch:1:sloid:77904:0:01,1,20230706,47.3433109977436,7.831058962535823,0
ch:1:sloid:1691:0:833838,3,20240219,46.004903232772264,7.754131776357315,0
ch:1:sloid:89794::1,1,20230109,47.047868910078606,8.295312808269628,0
ch:1:sloid:6621:0:71728,1,20230426,47.32952341054219,9.08482440054617,0
ch:1:sloid:87691:0:01,1,20230210,46.913750009912306,8.846670008869038,0
ch:1:sloid:95635::2,2,20230301,46.84886010965308,9.50427450941709,0
ch:1:sloid:2853:0:2,2,20220301,47.14110100934377,8.572730245112018,0
ch:1:sloid:70364:0:653466,2,20230426,46.71062853579714,6.799176569214039,0
ch:1:sloid:92061:0:1161,8,20230907,46.50990263939048,6.627345348911189,0
ch:1:sloid:92141:0:956,4,20230907,46.56610340460884,6.633988000899177,0
ch:1:sloid:82666:0:76533,1,20230427,46.67913315625989,9.499988527560323,0
ch:1:sloid:671:0:368385,2,20230426,47.35793806114235,7.291250594291476,0
ch:1:sloid:94315:1:2,11,20100825,46.62529058207741,8.02530620957095,0
ch:1:sloid:894:0:998217,1,20220325,47.18228168027069,7.036521593695272,0
ch:1:sloid:81835:0:543795,1,20230427,47.492550073896204,7.016755211245917,0
ch:1:sloid:71135:0:954873,1,20230427,46.29271719676049,7.891517316680807,0
ch:1:sloid:75311::403201,2,20230817,46.01340707635233,8.944083215328803,0
ch:1:sloid:76627:1:1,10,20000528,46.81488030499815,7.675942406138065,0
ch:1:sloid:89471:1:4,4,20200703,47.57844609985463,7.649100805333678,0
ch:1:sloid:1693:0:586477,2,20240219,45.984514477382646,7.765387666852239,0
ch:1:sloid:89160:0:15163,2,20220101,46.79497320613574,7.140326701779441,0
ch:1:sloid:89224:0:01,892241,20231108,47.10791001009009,8.319850008253855,0
ch:1:sloid:89987:0:01,899872,20231108,47.15130001019528,8.228150008094646,0
ch:1:sloid:76802:1:4,11,20101212,46.74440008691749,7.5255644313253,0
ch:1:sloid:70137:0:42628,2,20231109,46.6243907543835,6.438221759884321,0
ch:1:sloid:73141:0:160475,1,20230427,46.61990412724447,8.57029683208046,0
ch:1:sloid:70476:0:26859,2,20230427,46.744322999977264,6.918605490856401,0
ch:1:sloid:70474:0:149448,1,20230427,46.72755777298377,6.897941024931482,0
ch:1:sloid:71429:0:739913,2,20230427,46.84938032147975,7.490148453359595,0
ch:1:sloid:77513:1:52,51,20220519,47.1988923176628,8.713119275405338,0
ch:1:sloid:77495:0:01,1,20230210,47.00696000999109,8.716940008730823,0
ch:1:sloid:77869:0:15398,1,20220101,46.770231648192684,7.2315981723729825,0
ch:1:sloid:77914:0:3,3,20220930,47.189163218896724,7.399149829782151,0
ch:1:sloid:71081:0:638363,1,20230427,46.30864692928935,7.849474590666295,0
ch:1:sloid:70898:0:197006,1,20230427,46.17350909140536,7.4188863720662725,0
ch:1:sloid:7159:0:1,Gwatt / Delta Park,20240308,46.720485892508385,7.635859585781736,0
ch:1:sloid:70890:0:53436,1,20230427,46.22709252773884,7.383027903932316,0
ch:1:sloid:4031:0:17989,1,20220101,46.75326268526829,7.033197227944749,0
ch:1:sloid:75002:0:652717,2,20230427,46.74597765070525,9.070594354206117,0
ch:1:sloid:70659:0:467283,2,20230427,46.213233687638805,6.988376934462889,0
ch:1:sloid:70700:0:654247,2,20230427,46.2257204825911,7.289398917501333,0
ch:1:sloid:76771:0:313424,1,20220412,47.15059046003174,6.992908386679593,0
ch:1:sloid:90265:0:01,1,20210504,47.36227007105645,8.165639465091163,0
ch:1:sloid:6473:0:78576,2,20230426,47.40844140778751,9.155101204024238,0
ch:1:sloid:9682:0:264883,1,20210211,46.74284009146005,9.573071380594518,0
ch:1:sloid:90168:0:01,1,20200507,47.47372106631315,8.295840435525486,0
ch:1:sloid:89257:0:960920,2,20230907,46.47702872483835,6.4437053725798705,0
ch:1:sloid:94993:0:17130,2,20220101,46.635088064299325,6.97461370812748,0
ch:1:sloid:3681:0:1,12,20201213,47.345468296081414,8.536657401914844,0
ch:1:sloid:72476:0:142468,1,20230427,47.44533628640467,8.137670523222926,0
ch:1:sloid:75784:0:246208,1,20230427,45.85930034551906,9.019724840391454,0
ch:1:sloid:82986:0:100746,2,20230427,47.40087685431313,7.079070016379974,0
ch:1:sloid:73133:0:02,151002,20230211,46.95283538357954,8.62818356524826,0
ch:1:sloid:73841:0:401928,2,20230427,47.172752594707376,8.960468585312457,0
ch:1:sloid:73827:0:600481,2,20230427,47.19266881912068,8.82684052243697,0
ch:1:sloid:90148::1,1,20230801,47.388126509335294,8.03930926023243,0
ch:1:sloid:89457:1:2,2,20200703,47.582328302357695,7.667318097415294,0
ch:1:sloid:3219::50,50,20240223,47.35031333820677,8.858649390426994,0
ch:1:sloid:1691:0:11534,2,20240219,46.00485955514362,7.754131776310196,0
ch:1:sloid:75522:0:174808,2,20230427,46.15096653441399,8.887607527890564,0
ch:1:sloid:3331:0:792791,sonn00,20230913,46.22849943913448,6.123425167659297,0
ch:1:sloid:82422:0:706844,1,20230427,46.8287439236186,6.621851050930986,0
ch:1:sloid:90787::52,52,20240223,47.40112346163193,8.448629748442547,0
ch:1:sloid:1693:0:288783,1,20240219,45.98448950941568,7.7653517342812295,0
ch:1:sloid:1692:0:297045,1,20240219,45.99284063720771,7.755137889441867,0
ch:1:sloid:94234:0:2,2,20231116,47.41622988197368,9.444949797790516,0
ch:1:sloid:71435:0:15,15,20190722,46.9486899962661,7.38230109772926,0
ch:1:sloid:91107::80,80,20201213,47.35793830489906,8.588144431482739,0
ch:1:sloid:88114:0:01,1,20230210,46.9756700099197,8.747000008749794,0
ch:1:sloid:3958::50,50,20240223,47.690004326754654,8.643464590449504,0
ch:1:sloid:4636:0:15340,1,20220101,46.819067750741326,7.231592906870775,0
ch:1:sloid:76583:1:3,15,20000528,46.76860518598744,7.630694262285746,0
ch:1:sloid:94104:0:1,1,20220930,47.198040047468574,7.396530140593566,0
